strategy,accuracy,precision_macro,recall_macro,f1_macro,recall_negative,recall_neutral,recall_positive
none,0.8362869198312236,0.5514072855312521,0.5613657800415016,0.5552285175582766,0.7446236559139785,0.0,0.9394736842105263
SMOTE,0.7265822784810126,0.5655526742550887,0.565142657312789,0.5512732834174594,0.7580645161290323,0.18867924528301888,0.7486842105263158
undersample,0.60084388185654,0.5700470804825327,0.5669667168529967,0.5052368926655338,0.6370967741935484,0.4716981132075472,0.5921052631578947
