ccp_alpha,n_nodes,train_accuracy,test_accuracy
0.0,1857,0.9757281553398058,0.7586497890295358
1.0907672968990534e-05,1335,0.9757281553398058,0.7586497890295358
2.2124640355215407e-05,1297,0.9757281553398058,0.7586497890295358
7.537839956582029e-05,1265,0.9757281553398058,0.7586497890295358
0.00019588115474499304,1177,0.9740396791895315,0.7637130801687764
0.00030103040339426996,1023,0.9582102152807092,0.7662447257383966
0.0003412019721191835,891,0.9425918108906711,0.7662447257383966
0.00037521692228319507,569,0.9079780498100465,0.7662447257383966
0.0003974464335046713,501,0.9001688476150275,0.7679324894514767
0.0004455700952112942,385,0.8877163360067539,0.7654008438818566
0.0005170958210215281,327,0.8788518362178134,0.7763713080168776
0.0006394144057715187,277,0.8689320388349514,0.7831223628691983
0.0007378503502215273,175,0.8474039679189531,0.7831223628691983
0.0009022261449445915,127,0.8330519206416209,0.7805907172995781
0.0015447600430094893,69,0.8106796116504854,0.7856540084388186
0.003204728780550087,29,0.7792317433516252,0.769620253164557
